trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.3, 'e': 0.10999999999999921}",30,20,19.077128409609806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.1049999999999992}",25,5,17.713670010804908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.0999999999999992}",20,1,23.747264234346453,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.0949999999999992}",25,17,17.28255163599288,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.08999999999999919}",25,15,9.603855629316392,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.08499999999999919}",20,0,9.311919464160695,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
184,False,"{'a': 0.3, 'e': 0.07999999999999918}",25,3,-7.786483772006228,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.3, 'e': 0.07499999999999918}",20,8,19.153869027686497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.3, 'e': 0.06999999999999917}",30,9,31.334453732187324,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.06499999999999917}",25,3,26.077728701834662,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.05999999999999917}",20,8,19.200894517293428,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.054999999999999175}",35,20,23.670017407315196,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.04999999999999918}",20,16,6.5433096437908835,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.04499999999999918}",25,5,11.508374426269846,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.3, 'e': 0.03999999999999918}",30,16,21.539117204985203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.034999999999999185}",20,16,7.037443417909444,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3, 'e': 0.029999999999999184}",20,8,21.132830700828414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.024999999999999183}",35,13,39.53014656894503,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.3, 'e': 0.01999999999999918}",20,6,20.094865477514748,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.3, 'e': 0.01499999999999918}",25,15,18.47573209883637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.00999999999999918}",25,11,24.349904009983874,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.3, 'e': 0.00499999999999918}",20,15,9.975101666175,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.3, 'e': 0.0}",20,13,13.430230923884967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.3, 'e': 0.0}",30,16,29.995614109359103,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.3, 'e': 0.0}",25,10,23.716657897979562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.3, 'e': 0.0}",25,13,21.93406265662675,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.3, 'e': 0.0}",20,13,13.90469736232138,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
